
20:41:51 04/07/2015:	 Open Database Name "dbarticlebtb"
05/07/2015 23:33:04:	 Restore Database from "05072015233251.sql"
05/07/2015 23:33:47:	 Open Database Name "dbarticlebtb"
05/07/2015 23:35:39:	 Open Database Name "dbarticlebtb"
05/07/2015 23:36:03:	 Open Database Name "dbarticlebtb"
05/07/2015 23:36:17:	 Open Database Name "dbarticlebtb"
05/07/2015 23:45:30:	 Create New Database "dbarticlebtb"
05/07/2015 23:45:30:	 Restore Database from "dbarticlebtb.sql"
05/07/2015 23:45:58:	 Open Database Name "dbarticlebtb"
05/07/2015 23:53:25:	 Open Database Name "dbarticlebtb"
05/07/2015 23:56:07:	 BackUp Database to "05072015235607.sql"
05/07/2015 23:56:16:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 00:01:38:	 Open Database Name "dbarticlebtb"
06/07/2015 00:26:58:	 Open Database Name "dbarticlebtb"
06/07/2015 00:27:32:	 Open Database Name "dbarticlebtb"
06/07/2015 00:32:55:	 Open Database Name "dbarticlebtb"
06/07/2015 00:35:02:	 Open Database Name "dbarticlebtb"
06/07/2015 00:37:01:	 Open Database Name "dbarticlebtb"
06/07/2015 00:37:56:	 Open Database Name "dbarticlebtb"
06/07/2015 00:40:16:	 Open Database Name "dbarticlebtb"
06/07/2015 06:32:32:	 Create New Database "mydbarticlebtb"
06/07/2015 06:32:32:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 06:34:14:	 Open Database Name "mydbarticlebtb"
06/07/2015 06:34:40:	 Open Database Name "mydbarticlebtb"
06/07/2015 06:35:37:	 ADDNEW Record ID 1
06/07/2015 06:35:37:	 ADDNEW Record ID 2
06/07/2015 06:36:22:	 Open Database Name "mydbarticlebtb"
06/07/2015 06:36:29:	 BackUp Database to "06072015063628.sql"
06/07/2015 06:39:39:	 Open Database Name "mydbarticlebtb"
06/07/2015 06:40:00:	 DELETE Record ID 1
06/07/2015 07:26:00:	 Open Database Name "mydbarticlebtb"
06/07/2015 07:27:02:	 Open Database Name "mydbarticlebtb"
06/07/2015 07:27:32:	 Open Database Name "mydbarticlebtb"
06/07/2015 07:28:22:	 Open Database Name "mydbarticlebtb"
06/07/2015 07:28:34:	 ADDNEW Record ID 3
06/07/2015 07:28:57:	 Open Database Name "mydbarticlebtb"
06/07/2015 07:29:05:	 Open Database Name "mydbarticlebtb"
06/07/2015 07:30:26:	 Create New Database "sokgimdbarticlebtb"
06/07/2015 07:30:26:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 07:37:11:	 Open Database Name "sokgimdbarticlebtb"
06/07/2015 07:37:37:	 ADDNEW Record ID 1
06/07/2015 07:37:37:	 ADDNEW Record ID 2
06/07/2015 07:41:04:	 Open Database Name "sokgimdbarticlebtb"
06/07/2015 07:55:07:	 Open Database Name "sokgimdbarticlebtb"
06/07/2015 07:57:01:	 Open Database Name "sokgimdbarticlebtb"
06/07/2015 08:02:32:	 Open Database Name "sokgimdbarticlebtb"
06/07/2015 08:02:45:	 Open Database Name "sokgimdbarticlebtb"
06/07/2015 08:09:26:	 Create New Database "dbarticle"
06/07/2015 08:09:26:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 09:04:08:	 Create New Database "dbarticle"
06/07/2015 09:04:08:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 09:06:03:	 Create New Database "dbarticle"
06/07/2015 09:06:03:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 09:07:13:	 Create New Database "dbarticle"
06/07/2015 09:07:13:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 09:23:42:	 Create New Database "sokgimdbarticle"
06/07/2015 09:23:42:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 09:24:37:	 Open Database Name "sokgimdbarticlebtb"
06/07/2015 09:27:48:	 Open Database Name "sokgimdbarticlebtb"
06/07/2015 09:29:22:	 Open Database Name "sokgimdbarticlebtb"
06/07/2015 09:30:24:	 Open Database Name "sokgimdbarticlebtb"
06/07/2015 09:31:20:	 Open Database Name "sokgimdbarticlebtb"
06/07/2015 09:37:15:	 Open Database Name "dbarticle"
06/07/2015 09:39:01:	 Open Database Name "dbarticle"
06/07/2015 09:41:52:	 Open Database Name "dbarticle"
06/07/2015 09:43:23:	 Open Database Name "dbarticle"
06/07/2015 09:43:38:	 ADDNEW Record ID 4
06/07/2015 09:43:38:	 ADDNEW Record ID 5
06/07/2015 09:46:33:	 Open Database Name "dbarticle"
06/07/2015 09:47:11:	 Open Database Name "dbarticle"
06/07/2015 09:48:30:	 Open Database Name "dbarticle"
06/07/2015 09:49:30:	 ADDNEW Record ID 6
06/07/2015 09:49:30:	 ADDNEW Record ID 7
06/07/2015 09:49:30:	 ADDNEW Record ID 8
06/07/2015 09:50:59:	 Open Database Name "dbarticle"
06/07/2015 09:58:00:	 Create New Database "dbarticle"
06/07/2015 09:58:00:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 10:06:52:	 Open Database Name "dbarticle"
06/07/2015 10:08:04:	 Open Database Name "dbarticle"
06/07/2015 10:08:26:	 ADDNEW Record ID 1
06/07/2015 10:08:58:	 Open Database Name "dbarticle"
06/07/2015 10:21:19:	 Create New Database "dbarticleG1"
06/07/2015 10:21:19:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 10:27:44:	 Create New Database "dbarticle"
06/07/2015 10:27:44:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 10:29:05:	 Open Database Name "dbarticle"
06/07/2015 10:35:10:	 Create New Database "dbarticle1"
06/07/2015 10:35:10:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 11:13:50:	 Create New Database "dbarticle1"
06/07/2015 11:13:50:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 11:14:43:	 Open Database Name "dbarticle"
06/07/2015 11:16:47:	 BackUp Database to "06072015111645.sql"
06/07/2015 11:30:48:	 BackUp Database to "06072015113048.sql"
06/07/2015 11:32:42:	 Create New Database "dbarticle1"
06/07/2015 11:32:42:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 11:33:59:	 Create New Database "dbarticle1"
06/07/2015 11:33:59:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 11:35:29:	 Create New Database "dbarticle1"
06/07/2015 11:35:29:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 11:43:37:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 11:44:40:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 11:45:18:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 12:54:11:	 Open Database Name "dbarticle"
06/07/2015 12:57:03:	 Open Database Name "dbarticle"
06/07/2015 12:58:23:	 Open Database Name "dbarticle"
06/07/2015 12:59:10:	 Open Database Name "dbarticle"
06/07/2015 12:59:42:	 Open Database Name "dbarticle"
06/07/2015 13:00:40:	 Open Database Name "dbarticle"
06/07/2015 13:01:54:	 Open Database Name "dbarticle"
06/07/2015 13:27:21:	 Open Database Name "dbarticle"
06/07/2015 13:31:02:	 Open Database Name "dbarticle"
06/07/2015 13:38:09:	 Open Database Name "dbarticle"
06/07/2015 13:39:41:	 Open Database Name "dbarticle"
06/07/2015 13:41:01:	 Open Database Name "dbarticle"
06/07/2015 13:42:40:	 Open Database Name "dbarticle"
06/07/2015 13:47:19:	 Create New Database "dbarticle111"
06/07/2015 13:47:20:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 13:48:48:	 Open Database Name "dbarticle"
06/07/2015 13:52:07:	 Create New Database "dbarticle"
06/07/2015 13:52:07:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 13:56:08:	 Create New Database "dbarticle1111"
06/07/2015 13:56:08:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 13:57:02:	 Open Database Name "dbarticle1111"
06/07/2015 14:04:44:	 Create New Database "dbarticle"
06/07/2015 14:04:44:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 14:05:22:	 Open Database Name "dbarticle"
06/07/2015 14:06:43:	 Open Database Name "dbarticle"
06/07/2015 14:08:15:	 Open Database Name "dbarticle"
06/07/2015 14:21:35:	 Create New Database "dbarticle"
06/07/2015 14:21:35:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 14:23:48:	 Open Database Name "dbarticle"
06/07/2015 14:34:43:	 Create New Database "autodbarticle"
06/07/2015 14:34:43:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 14:34:54:	 Open Database Name "dbarticle"
06/07/2015 14:36:15:	 Open Database Name "dbarticle"
06/07/2015 14:36:52:	 Open Database Name "dbarticle"
06/07/2015 14:52:41:	 Open Database Name "dbarticle"
06/07/2015 14:53:51:	 ADDNEW Record ID 300101
06/07/2015 14:53:51:	 ADDNEW Record ID 300102
06/07/2015 14:55:10:	 DELETE Record ID 300102
06/07/2015 14:55:40:	 Open Database Name "dbarticle"
06/07/2015 15:17:01:	 Create New Database "dbarticle11"
06/07/2015 15:17:01:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 15:20:17:	 Create New Database "dbarticle11"
06/07/2015 15:20:17:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 15:20:32:	 Open Database Name "dbarticle11"
06/07/2015 15:20:35:	 BackUp Database to "06072015152034.sql"
06/07/2015 15:21:51:	 Open Database Name "dbarticle11"
06/07/2015 15:22:09:	 Restore Database from "05072015233251.sql"
06/07/2015 15:22:21:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 15:28:48:	 Create New Database "dbarticle111"
06/07/2015 15:28:48:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 15:29:52:	 Create New Database "dbarticle111"
06/07/2015 15:29:52:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 15:31:59:	 Create New Database "autodbarticle"
06/07/2015 15:31:59:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 15:32:05:	 Open Database Name "autodbarticle"
06/07/2015 15:35:28:	 Create New Database "autodbarticle"
06/07/2015 15:35:28:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 15:35:37:	 Open Database Name "autodbarticle"
06/07/2015 15:36:18:	 Open Database Name "autodbarticle"
06/07/2015 15:54:09:	 Create New Database "autodbarticle"
06/07/2015 15:54:09:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 15:58:47:	 Create New Database "autodbarticle"
06/07/2015 15:58:47:	 Restore Database from "dbarticlebtb.sql"
06/07/2015 15:58:50:	 Open Database Name "autodbarticle"
07/07/2015 10:16:56:	 Open Database Name "autodbarticle"
07/07/2015 10:17:21:	 ADDNEW Record ID 21
07/07/2015 10:17:53:	 Open Database Name "autodbarticle"
07/07/2015 10:31:21:	 Open Database Name "autodbarticle"
07/07/2015 10:33:08:	 Open Database Name "autodbarticle"
07/07/2015 10:34:24:	 Open Database Name "autodbarticle"
07/07/2015 10:36:50:	 Open Database Name "autodbarticle"
07/07/2015 10:40:34:	 Open Database Name "autodbarticle"
07/07/2015 10:41:11:	 Open Database Name "autodbarticle"
07/07/2015 10:41:47:	 ADDNEW Record ID 22
07/07/2015 10:42:21:	 Open Database Name "autodbarticle"
07/07/2015 10:42:56:	 Open Database Name "autodbarticle"
07/07/2015 10:43:32:	 ADDNEW Record ID 23
07/07/2015 10:44:48:	 Open Database Name "autodbarticle"
27/07/2015 20:24:41:	 Open Database Name "autodbarticle"
27/07/2015 20:25:11:	 Open Database Name "autodbarticle"
27/07/2015 20:25:40:	 ADDNEW Record ID 1
